"","playerID","yearID","stint","POS","G","GS","InnOuts","PO","A","E","DP"
"954","robinje01",1985,1,"P",8,0,37,0,0,0,0
"955","robinro01",1985,1,"P",33,12,325,9,17,2,4
"956","roeniga01",1985,1,"OF",89,53,1541,134,6,1,0
"957","roeniro01",1985,1,"OF",35,30,825,63,0,1,0
"958","rogerst01",1985,1,"P",8,7,114,5,11,1,0
"959","romanjo02",1985,1,"P",5,3,49,3,1,1,0
"960","romanro01",1985,1,"P",31,31,585,10,18,1,0
"961","romered01",1985,1,"2B",31,30,816,80,104,4,26
"962","romered01",1985,1,"3B",1,1,27,1,0,0,0
"963","romered01",1985,1,"OF",14,10,297,19,0,0,0
"964","romered01",1985,1,"SS",43,37,974,57,115,4,27
"965","romerra01",1985,1,"P",19,10,193,0,6,0,0
"966","rominke01",1985,1,"OF",23,5,222,20,1,0,0
"967","rosepe01",1985,1,"1B",110,110,2815,870,73,5,80
"968","rossma01",1985,1,"P",8,0,39,2,2,0,0
"969","rowdowa01",1985,1,"3B",4,2,60,1,3,2,0
"970","roystje01",1985,1,"2B",58,50,1231,112,165,7,33
"971","roystje01",1985,1,"3B",29,8,344,13,24,1,1
"972","roystje01",1985,1,"OF",2,0,9,1,0,0,0
"973","roystje01",1985,1,"SS",7,4,130,4,25,0,3
"974","rozemda01",1985,1,"P",34,4,264,2,18,0,0
"975","ruckeda01",1985,1,"P",39,3,238,5,14,0,1
"976","ruhleve01",1985,1,"P",42,16,375,15,13,0,0
"977","rungepa01",1985,1,"2B",2,0,6,0,0,0,0
"978","rungepa01",1985,1,"3B",28,19,562,10,55,5,3
"979","rungepa01",1985,1,"SS",5,3,93,5,11,2,2
"980","runneto01",1985,1,"2B",1,1,24,2,2,0,0
"981","runneto01",1985,1,"SS",11,6,178,8,20,0,4
"982","russebi01",1985,1,"2B",8,5,136,10,17,1,0
"983","russebi01",1985,1,"3B",5,0,24,0,1,0,0
"984","russebi01",1985,1,"OF",21,15,422,23,0,1,0
"985","russebi01",1985,1,"SS",23,19,507,27,64,8,11
"986","russeje01",1985,1,"P",13,13,186,6,10,0,1
"987","russejo02",1985,1,"1B",18,14,335,114,5,4,6
"988","russejo02",1985,1,"OF",49,46,1122,56,4,0,1
"989","ruthvdi01",1985,1,"P",20,15,262,5,11,1,1
"990","ryalma01",1985,1,"OF",12,10,258,21,0,0,0
"991","ryanno01",1985,1,"P",35,35,696,6,20,2,0
"992","saberbr01",1985,1,"P",32,32,706,22,38,2,4
"993","sakatle01",1985,1,"2B",50,22,792,58,87,6,18
"994","salasma01",1985,1,"C",115,95,2573,529,39,5,10
"995","salazlu01",1985,1,"1B",6,6,121,40,2,0,6
"996","salazlu01",1985,1,"3B",39,27,736,22,52,6,5
"997","salazlu01",1985,1,"OF",84,53,1482,118,3,4,2
"998","sambijo01",1985,1,"P",8,0,32,1,3,0,0
"999","samplbi01",1985,1,"OF",55,43,1057,89,1,1,0
"1000","samueju01",1985,1,"2B",159,159,4146,389,463,15,88
"1001","sanchal01",1985,1,"OF",31,16,479,35,1,3,0
"1002","sanchlu01",1985,1,"P",26,0,184,3,11,1,1
"1003","sandbry01",1985,1,"2B",153,152,4003,353,500,12,99
"1004","sandbry01",1985,1,"SS",1,0,3,0,1,0,0
"1005","sandesc01",1985,1,"P",19,19,363,11,21,0,2
"1006","santara01",1985,1,"SS",153,145,4014,301,396,25,81
"1007","saxda01",1985,1,"C",16,11,294,66,0,1,0
"1008","saxda01",1985,1,"OF",4,0,18,0,0,0,0
"1009","saxst01",1985,1,"2B",135,132,3508,330,357,22,84
"1010","saxst01",1985,1,"3B",1,0,9,0,1,0,0
"1011","schatda01",1985,1,"P",24,15,313,3,20,4,1
"1012","scherbi01",1985,1,"P",48,0,198,7,11,2,2
"1013","schirca01",1985,1,"P",10,4,79,2,3,0,2
"1014","schmida01",1985,1,"P",51,4,257,3,19,3,3
"1015","schmimi01",1985,1,"1B",106,105,2690,880,83,7,89
"1016","schmimi01",1985,1,"3B",54,49,1297,31,109,11,8
"1017","schmimi01",1985,1,"SS",1,0,3,0,1,0,0
"1018","schofdi02",1985,1,"SS",147,132,3565,261,397,25,108
"1019","schrobi01",1985,1,"1B",1,1,27,5,0,0,1
"1020","schrobi01",1985,1,"C",48,46,1223,211,23,3,4
"1021","schroke01",1985,1,"P",29,26,482,23,20,3,3
"1022","schulda01",1985,1,"P",9,0,32,1,0,0,0
"1023","schuldo01",1985,1,"P",19,18,283,8,16,2,2
"1024","schuri01",1985,1,"3B",111,110,2903,86,191,20,19
"1025","sciosmi01",1985,1,"C",139,131,3453,818,66,13,8
"1026","sconida01",1985,1,"1B",6,4,111,35,1,1,2
"1027","scottdo01",1985,1,"C",74,48,1319,277,31,6,1
"1028","scottmi03",1985,1,"P",36,35,665,21,22,2,1
"1029","scranji01",1985,1,"SS",5,1,48,1,8,0,1
"1030","scurrro01",1985,1,"P",30,0,143,1,9,0,0
"1031","scurrro01",1985,2,"P",5,0,38,0,1,0,0
"1032","searara01",1985,1,"P",33,0,114,1,2,1,0
"1033","seaveto01",1985,1,"P",35,33,716,20,43,2,2
"1034","sebrabo01",1985,1,"P",7,4,61,1,1,0,1
"1035","selleje01",1985,1,"P",4,4,67,2,4,2,0
"1036","sheetla01",1985,1,"1B",1,1,24,5,1,0,1
"1037","sheetla01",1985,1,"OF",9,6,141,7,0,1,0
"1038","shelbjo01",1985,1,"2B",1,0,3,0,1,0,0
"1039","shelbjo01",1985,1,"OF",59,43,1262,148,3,3,0
"1040","shephro01",1985,1,"OF",16,5,225,24,0,0,0
"1041","sheripa01",1985,1,"OF",69,53,1495,116,3,2,0
"1042","shielst01",1985,1,"P",23,6,204,6,6,1,0
"1043","shinera01",1985,1,"1B",5,4,90,34,4,2,1
"1044","shinera01",1985,1,"P",1,0,3,0,0,0,0
"1045","shipada01",1985,1,"P",26,0,109,2,2,1,5
"1046","shirlbo01",1985,1,"P",48,8,327,4,15,3,1
"1047","shower01",1985,1,"P",35,35,699,14,24,4,2
"1048","simmone01",1985,1,"OF",38,37,915,67,2,4,1
"1049","simmote01",1985,1,"1B",28,27,692,226,17,2,22
"1050","simmote01",1985,1,"3B",2,2,54,0,5,0,0
"1051","simmote01",1985,1,"C",15,11,324,65,4,1,1
"1052","siskdo01",1985,1,"P",42,0,219,3,15,0,2
"1053","skinnjo01",1985,1,"C",21,15,393,94,8,3,0
"1054","slatoji01",1985,1,"P",29,24,445,6,22,1,4
"1055","slaugdo01",1985,1,"C",102,99,2501,550,33,6,4
"1056","smallro02",1985,1,"1B",1,1,18,4,1,0,0
"1057","smallro02",1985,1,"3B",14,13,318,9,41,1,2
"1058","smallro02",1985,1,"SS",49,39,1015,57,91,2,16
"1059","smithbr01",1985,1,"P",32,32,667,24,27,5,2
"1060","smithda02",1985,1,"P",64,0,238,4,7,3,1
"1061","smithda03",1985,1,"P",4,0,15,0,1,0,0
"1062","smithke03",1985,1,"SS",3,0,9,0,1,0,0
"1063","smithle02",1985,1,"P",65,0,293,3,9,0,1
"1064","smithlo01",1985,1,"OF",28,27,622,43,1,0,1
"1065","smithlo01",1985,2,"OF",119,119,2760,195,10,9,3
"1066","smithmi03",1985,1,"P",37,37,771,16,28,2,4
"1067","smithmi04",1985,1,"P",2,0,10,0,1,0,0
"1068","smithoz01",1985,1,"SS",158,158,4221,264,549,14,111
"1069","smithro01",1985,1,"P",12,11,187,6,3,0,0
"1070","smithza01",1985,1,"P",42,18,441,7,35,3,2
"1071","snellna01",1985,1,"P",43,0,301,6,21,2,3
"1072","snydebr01",1985,1,"P",15,6,106,4,7,0,0
"1073","solanju01",1985,1,"P",20,0,101,0,2,0,0
"1074","sorenla01",1985,1,"P",45,3,247,4,14,2,1
"1075","sotoma01",1985,1,"P",36,36,770,13,34,2,0
"1076","speiech01",1985,1,"2B",13,10,276,21,28,2,9
"1077","speiech01",1985,1,"3B",31,6,323,5,24,2,1
"1078","speiech01",1985,1,"SS",58,30,927,61,125,7,33
"1079","spillda01",1985,1,"P",52,3,275,4,2,1,0
"1080","spilmha01",1985,1,"1B",19,14,335,131,4,0,15
"1081","spilmha01",1985,1,"C",2,0,9,3,0,0,0
"1082","stanlbo01",1985,1,"P",48,0,263,8,12,1,1
"1083","stantmi01",1985,1,"P",24,0,87,3,6,0,1
"1084","stantmi01",1985,2,"P",11,0,35,1,1,1,0
"1085","staplda01",1985,1,"1B",8,1,60,12,1,1,3
"1086","staplda01",1985,1,"2B",14,12,332,29,35,0,8
"1087","staubru01",1985,1,"OF",1,0,21,1,0,0,0
"1088","stclara01",1985,1,"P",42,0,206,4,13,0,2
"1089","steinbi02",1985,1,"1B",8,6,120,40,3,1,2
"1090","steinbi02",1985,1,"2B",3,0,15,2,2,0,1
"1091","steinbi02",1985,1,"3B",11,7,185,5,15,1,1
"1092","steinbi02",1985,1,"OF",3,0,9,5,0,0,0
"1093","stenhmi01",1985,1,"1B",8,7,180,59,8,1,4
"1094","stenhmi01",1985,1,"OF",16,13,315,24,2,2,0
"1095","stewada01",1985,1,"P",42,5,244,6,10,2,2
"1096","stewada01",1985,2,"P",4,0,13,0,0,1,0
"1097","stewasa01",1985,1,"P",56,1,389,12,13,0,0
"1098","stiebda01",1985,1,"P",36,36,795,34,53,5,5
