"","playerID","yearID","stint","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","batav"
"368","hearrje01",1985,1,7,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.142857142857143
"369","heathje02",1985,1,16,1,1,0,0,0,0,0,0,4,11,0,0,0,0,0,0.0625
"370","heathmi02",1985,1,436,71,109,18,6,13,55,7,7,41,63,0,1,10,4,13,0.25
"371","heatone01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"372","hebneri01",1985,1,120,10,26,2,0,3,22,0,1,7,15,1,1,0,0,2,0.216666666666667
"373","heepda01",1985,1,271,26,76,17,0,7,42,2,2,27,27,1,1,0,6,12,0.280442804428044
"374","hegmabo01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"375","hendeda01",1985,1,502,70,121,28,2,14,68,6,1,48,104,2,3,1,2,11,0.241035856573705
"376","henderi01",1985,1,547,146,172,28,5,24,72,80,10,99,65,1,3,0,5,8,0.314442413162706
"377","hendest01",1985,1,193,25,58,8,3,3,31,0,0,18,34,0,0,1,1,10,0.300518134715026
"378","hendrge01",1985,1,256,23,59,15,0,2,25,1,0,18,42,1,0,0,3,11,0.23046875
"379","hendrge01",1985,2,41,5,5,1,0,2,6,0,0,4,8,1,0,0,1,4,0.121951219512195
"380","henketo01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"381","henrydw01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"382","hernake01",1985,1,593,87,183,34,4,10,91,3,3,77,59,15,2,0,10,14,0.308600337268128
"383","hernale01",1985,1,21,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0.0476190476190476
"384","hernawi01",1985,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"385","herndla01",1985,1,442,45,108,12,7,12,37,2,1,33,79,1,1,1,1,9,0.244343891402715
"386","herrto01",1985,1,596,97,180,38,3,8,110,31,3,80,55,5,2,5,13,6,0.302013422818792
"387","hershor01",1985,1,76,5,15,1,0,0,4,1,0,4,20,0,1,10,0,0,0.197368421052632
"388","heskejo01",1985,1,44,0,4,0,0,0,1,0,0,4,30,0,0,5,0,1,0.0909090909090909
"389","higuete01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"390","hilldo01",1985,1,393,45,112,13,2,3,48,9,4,23,33,2,0,16,4,7,0.28498727735369
"391","hillma01",1985,1,75,5,10,2,0,0,4,0,0,12,9,0,0,8,0,2,0.133333333333333
"392","hoffmgl01",1985,1,279,40,77,17,2,6,34,2,2,25,40,0,5,9,3,6,0.275985663082437
"393","hollaal01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"394","hollaal01",1985,2,5,1,2,0,1,0,0,0,0,1,2,0,0,1,0,0,0.4
"395","hollaal01",1985,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"396","holtobr01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"397","honeyri01",1985,1,38,5,5,1,0,0,1,0,0,3,6,0,0,8,0,1,0.131578947368421
"398","hootobu01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"399","hornebo01",1985,1,483,61,129,25,3,27,89,1,1,50,57,4,1,0,6,18,0.267080745341615
"400","hortori01",1985,1,16,1,1,0,0,0,0,0,0,3,5,0,0,2,0,0,0.0625
"401","houghch01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"402","housepa02",1985,1,299,41,77,15,0,11,34,1,2,27,60,0,1,1,1,5,0.25752508361204
"403","howear01",1985,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"404","howelja01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"405","howelja02",1985,1,137,19,27,4,0,5,18,1,1,16,33,2,0,4,1,1,0.197080291970803
"406","howelke01",1985,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"407","howest01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"408","howest01",1985,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"409","hoytla01",1985,1,64,4,4,0,0,0,2,0,0,1,21,0,0,12,0,1,0.0625
"410","hrbekke01",1985,1,593,78,165,31,2,21,93,1,1,67,87,12,2,0,4,12,0.278246205733558
"411","hubbagl01",1985,1,439,51,102,21,0,5,39,4,3,56,54,2,4,7,6,11,0.232346241457859
"412","hudlere01",1985,1,51,4,8,0,1,0,1,0,1,1,9,0,0,5,0,0,0.156862745098039
"413","hudsoch02",1985,1,57,2,8,0,0,0,3,0,0,1,18,0,1,3,0,1,0.140350877192982
"414","huffmph01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"415","huismma01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"416","huletti01",1985,1,395,52,106,19,4,5,37,6,4,30,81,1,4,4,3,8,0.268354430379747
"417","humeto01",1985,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"418","huntra01",1985,1,19,1,3,0,0,0,1,0,1,0,5,0,0,1,0,0,0.157894736842105
"419","huppeda01",1985,1,21,1,1,0,0,0,0,0,0,2,7,0,0,2,0,1,0.0476190476190476
"420","hurdlcl01",1985,1,82,7,16,4,0,3,7,0,1,13,20,3,1,1,0,1,0.195121951219512
"421","hurstbr01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"422","iorgda01",1985,1,130,7,29,9,1,1,21,0,1,8,16,2,0,0,0,6,0.223076923076923
"423","iorgga01",1985,1,288,33,90,22,1,7,37,3,6,21,26,3,0,2,1,6,0.3125
"424","jacksda02",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"425","jacksda03",1985,1,11,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0909090909090909
"426","jacksre01",1985,1,460,64,116,27,0,27,85,1,2,78,138,12,1,0,2,16,0.252173913043478
"427","jacksro03",1985,1,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
"428","jacobbr01",1985,1,606,72,166,26,3,20,87,2,3,48,120,3,0,1,7,17,0.273927392739274
"429","jamesbo01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"430","jamesdi01",1985,1,49,5,11,1,0,0,3,0,0,6,6,0,0,0,0,0,0.224489795918367
"431","jeffcmi01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"432","jeffcmi01",1985,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"433","jeltzst01",1985,1,196,17,37,4,1,0,12,1,1,26,55,4,0,5,1,6,0.188775510204082
"434","johnscl01",1985,1,296,31,76,17,1,12,56,0,0,31,44,2,3,1,3,3,0.256756756756757
"435","johnscl01",1985,2,73,4,20,0,0,1,10,0,0,9,15,0,0,0,1,1,0.273972602739726
"436","johnsho01",1985,1,389,38,94,18,4,11,46,6,4,34,78,10,0,1,4,6,0.241645244215938
"437","johnsja01",1985,1,15,0,2,1,0,0,2,0,0,1,2,1,0,0,0,2,0.133333333333333
"438","johnsjo05",1985,1,23,0,1,1,0,0,2,0,0,3,8,0,0,3,0,0,0.0434782608695652
"439","johnsro04",1985,1,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"440","johnto01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"441","johnto01",1985,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"442","jonesal02",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"443","jonesbo02",1985,1,134,14,30,2,0,5,23,1,0,11,30,1,1,0,2,1,0.223880597014925
"444","jonesch04",1985,1,25,0,5,0,0,0,1,0,0,3,7,0,0,0,0,0,0.2
"445","jonesly01",1985,1,152,12,32,7,0,0,9,0,1,8,15,0,3,4,2,6,0.210526315789474
"446","jonesmi02",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"447","jonesru01",1985,1,389,66,90,17,2,21,67,7,4,57,82,2,0,8,2,5,0.231362467866324
"448","jorgemi01",1985,1,112,14,22,6,0,0,11,2,1,31,27,0,1,2,0,3,0.196428571428571
"449","juraked01",1985,1,13,4,3,0,0,0,0,0,0,1,3,0,0,0,0,1,0.230769230769231
"450","kaiseje01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"451","kearnbo01",1985,1,305,24,74,14,1,6,27,1,1,11,59,1,4,5,1,7,0.242622950819672
"452","keedypa01",1985,1,4,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0.5
"453","kempst01",1985,1,236,19,59,13,2,2,21,1,0,25,54,1,0,1,4,5,0.25
"454","kennete02",1985,1,532,54,139,27,1,10,74,0,0,31,102,10,0,0,2,19,0.261278195488722
"455","keougma02",1985,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"456","kepshku01",1985,1,51,6,6,3,0,0,2,0,0,1,18,0,0,7,1,0,0.117647058823529
"457","kerfech01",1985,1,14,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0
"458","kernji01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"459","keyji01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"460","khalisa01",1985,1,320,30,76,14,3,2,31,5,2,34,56,8,0,9,4,9,0.2375
"461","kiefest01",1985,1,66,8,13,1,1,1,10,0,0,1,18,0,0,2,2,1,0.196969696969697
"462","kingmda01",1985,1,592,66,141,16,0,30,91,3,2,62,114,6,2,2,8,17,0.238175675675676
"463","kippebo01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"464","kippebo01",1985,2,8,1,2,0,0,0,0,0,0,0,3,0,0,2,0,0,0.25
"465","kisonbr01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"466","kittlro01",1985,1,379,51,87,12,0,26,58,1,4,31,92,1,5,0,2,12,0.229551451187335
"467","klawito01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"468","kneppbo01",1985,1,78,5,11,1,0,1,5,0,0,2,38,0,0,8,0,0,0.141025641025641
"469","kniceal01",1985,1,158,17,40,9,0,5,26,0,0,16,34,2,1,1,2,6,0.253164556962025
"470","kniceal01",1985,2,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"471","knighra01",1985,1,271,22,59,12,0,6,36,1,1,13,32,1,1,0,5,17,0.217712177121771
"472","knudsma01",1985,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"473","kommibr01",1985,1,300,52,68,12,3,4,21,10,8,38,71,1,1,2,2,4,0.226666666666667
"474","koosmje01",1985,1,34,1,3,0,0,0,4,0,0,1,9,0,0,1,1,2,0.0882352941176471
"475","krawcra01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"476","krencwa01",1985,1,173,16,47,9,0,4,25,0,0,28,20,4,0,2,2,3,0.271676300578035
"477","kruegbi01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"478","krukomi01",1985,1,55,2,12,4,0,1,3,1,1,1,15,0,2,8,0,0,0.218181818181818
"479","kuipedu01",1985,1,5,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0.6
"480","kunkeje01",1985,1,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0.25
"481","kuntzru01",1985,1,5,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0
"482","lacosmi01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"483","lacyle01",1985,1,492,69,144,22,4,9,48,10,3,39,95,0,2,1,6,10,0.292682926829268
"484","laddpe01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"485","lagami01",1985,1,36,3,6,1,0,2,6,0,0,0,9,0,0,0,0,1,0.166666666666667
"486","lahtije01",1985,1,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"487","lakest01",1985,1,119,5,18,2,0,1,11,1,0,3,21,1,1,4,1,3,0.151260504201681
"488","lampde01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"489","landrke01",1985,1,482,70,129,26,2,12,50,15,5,33,37,2,1,3,8,9,0.267634854771784
"490","landrti01",1985,1,161,21,45,8,2,4,21,1,4,19,30,1,0,1,0,3,0.279503105590062
